Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
O8KE5OJ8Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:38:21,2003-09-13 14:38:21,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:06:05,,,,0.588
O8KE5OJ9Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:39:47,2003-09-13 14:39:47,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:06:35,,,,0.588
U8LP9M03M,GOODS,03 32 21.917,-27 51 54.82,3,2003-09-11 21:20:15,2003-09-11 21:36:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 17:23:19,U8LP9M03M,,,0.607
U8LP9M04M,GOODS,03 32 21.917,-27 51 54.82,3,2003-09-11 21:39:15,2003-09-11 21:55:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 17:24:00,U8LP9M04M,,,0.607
N96028UYQ,WFPCUDF1-1,03 32 21.006,-27 51 46.52,11,2005-02-27 19:33:44,2005-02-27 19:44:24,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:22:03,N96028UYQ,,,0.633
N96028V0Q,WFPCUDF1-1,03 32 21.006,-27 51 46.51,11,2005-02-27 19:44:46,2005-02-27 19:55:26,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:22:14,N96028V0Q,,,0.633
U8LPA001M,GOODS,03 32 17.950,-27 51 58.51,3,2003-09-09 19:55:15,2003-09-09 20:11:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 00:29:55,U8LPA001M,,,0.634
U8LPA002M,GOODS,03 32 17.950,-27 51 58.51,3,2003-09-09 20:14:15,2003-09-09 20:25:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 00:31:09,U8LPA002M,,,0.634
U8LPAP01M,GOODS,03 32 17.950,-27 51 58.51,3,2003-09-09 19:45:15,2003-09-09 19:49:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 00:27:14,U8LPAP01M,,,0.634
U8ITZP01M,GOODS,03 32 22.246,-27 52 49.06,6,2003-09-04 21:29:15,2003-09-04 21:45:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-05 03:52:10,U8ITZP01M,,,0.636
U8ITZP02M,GOODS,03 32 22.246,-27 52 49.06,6,2003-09-04 21:48:15,2003-09-04 21:56:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-05 03:53:51,U8ITZP02M,,,0.636
N96028UUQ,WFPCUDF1-1,03 32 21.112,-27 51 45.12,11,2005-02-27 19:11:35,2005-02-27 19:22:15,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:20:59,N96028UUQ,,,0.662
N96028UWQ,WFPCUDF1-1,03 32 21.112,-27 51 45.12,11,2005-02-27 19:22:38,2005-02-27 19:33:18,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:21:30,N96028UWQ,,,0.662
